time,x,y,z
8.55,-648714.741830927,3047972.26528312,1612123.98931927
8.6,-648966.266161354,3047805.85360491,1612166.49858915
8.65,-649217.788833056,3047639.43435721,1612209.00384256
8.7,-649469.310112004,3047473.00737642,1612251.50512626
8.75,-649720.829521836,3047306.57296582,1612294.00232582
8.8,-649972.34731739,3047140.13102487,1612336.49551273
8.85,-650223.864027515,3046973.68119054,1612378.98482545
8.9,-650475.378037497,3046807.22441738,1612421.46998939
8.95,-650726.891599339,3046640.75925525,1612463.95133706
9,-650978.402696511,3046474.28712387,1612506.42852623
9.05,-651229.912717537,3046307.80709265,1612548.90179013
9.1,-651481.420755974,3046141.31970266,1612591.37094936
9.15,-651732.927203748,3045974.82471377,1612633.83610196
9.2,-651984.432098545,3045808.32207935,1612676.29725847
9.25,-652235.935268228,3045641.81191113,1612718.75435493
9.3,-652487.43710974,3045475.29399359,1612761.20755218
9.35,-652738.937019104,3045308.76873982,1612803.65672368
9.4,-652990.435687875,3045142.23563705,1612846.10194052
9.45,-653241.932305587,3044975.69515477,1612888.54304997
9.5,-653493.427804717,3044809.14680525,1612930.98022661
9.55,-653744.921055755,3044642.59133519,1612973.41328052
9.6,-653996.41306541,3044476.02800688,1613015.84235211
9.65,-654247.903089331,3044309.45734956,1613058.26735769
9.7,-654499.391917241,3044142.87877106,1613100.68847031
9.75,-654750.878552277,3043976.29296942,1613143.10549181
9.8,-655002.364259691,3043809.69914593,1613185.51860402
9.85,-655253.847896359,3043643.09808,1613227.92763187
9.9,-655505.329953831,3043476.48941379,1613270.33263692
9.95,-655756.810052038,3043309.87329255,1613312.73355545
10,-656008.289045025,3043143.24926747,1613355.13054117
10.05,-656259.766172101,3042976.61786257,1613397.52346711
10.1,-656511.241750527,3042809.97880336,1613439.91237171
10.15,-656762.71548871,3042643.33231151,1613482.29729619
10.2,-657014.187417141,3042476.67828365,1613524.67819935
10.25,-657265.657852022,3042310.01655693,1613567.05507438
10.3,-657517.127142734,3042143.34696268,1613609.42800717
10.35,-657768.59474542,3041976.6698674,1613651.79690674
10.4,-658020.059808165,3041809.98581202,1613694.1616201
10.45,-658271.523943041,3041643.29362692,1613736.52241554
10.5,-658522.986295338,3041476.59395759,1613778.87916309
10.55,-658774.447333505,3041309.88652314,1613821.23199923
10.6,-659025.906235589,3041143.17179567,1613863.58075047
10.65,-659277.363120056,3040976.44978172,1613905.92541372
10.7,-659528.819327487,3040809.7195669,1613948.26621635
10.75,-659780.273604552,3040642.98185478,1613990.60292581
10.8,-660031.726049095,3040476.23671779,1614032.9355697
10.85,-660283.177155706,3040309.48384251,1614075.26423883
10.9,-660534.625932954,3040142.72383634,1614117.58875589
10.95,-660786.073219237,3039975.95616194,1614159.90926088
11,-661037.519507524,3039809.18039441,1614202.22594692
11.05,-661288.963386667,3039642.39756077,1614244.53847729
11.1,-661540.406026869,3039475.60686724,1614286.84702486
11.15,-661791.846473056,3039308.80900017,1614329.15145266
11.2,-662043.285509326,3039142.0034296,1614371.45188735
11.25,-662294.723437494,3038975.18981228,1614413.74836062
11.3,-662546.159195363,3038808.36896928,1614456.0407203
11.35,-662797.59385372,3038641.54022201,1614498.32915028
11.4,-663049.025796276,3038474.70456835,1614540.61340421
11.45,-663300.457276921,3038307.86056279,1614582.89386833
11.5,-663551.886234017,3038141.00956148,1614625.17015748
11.55,-663803.313935195,3037974.15063262,1614667.44246626
11.6,-664054.739516825,3037807.28444537,1614709.71065245
11.65,-664306.164095215,3037640.4102889,1614751.97491175
11.7,-664557.586370408,3037473.52896892,1614794.23501015
11.75,-664809.007792405,3037306.63955341,1614836.49121212
11.8,-665060.426934235,3037139.74292985,1614878.74333801
11.85,-665311.844279216,3036972.83875834,1614920.99143451
11.9,-665563.260256895,3036805.92682571,1614963.23553352
11.95,-665814.67435464,3036639.00750083,1615005.47556184
12,-666066.087315093,3036472.08026697,1615047.7116333
12.05,-666317.497891424,3036305.14592228,1615089.94352499
12.1,-666568.907334157,3036138.203583,1615132.17147619
12.15,-666820.31468638,3035971.25396908,1615174.39532862
12.2,-667071.7207035,3035804.2965172,1615216.61522607
12.25,-667323.124590128,3035637.33182598,1615258.83105537
12.3,-667574.527521752,3035470.35910928,1615301.04296026
12.35,-667825.92810875,3035303.3791849,1615343.25069181
12.4,-668077.327615523,3035136.39127659,1615385.45448404
12.45,-668328.724838309,3034969.39623061,1615427.65413177
12.5,-668580.120585017,3034802.39344968,1615469.8497448
12.55,-668831.514934677,3034635.38294672,1615512.04137457
12.6,-669082.907469532,3034468.364989,1615554.22900027
12.65,-669334.298284884,3034301.33941755,1615596.41259839
12.7,-669585.687060782,3034134.3064565,1615638.59209349
12.75,-669837.074590058,3033967.26567041,1615680.76762138
12.8,-670088.460431437,3033800.2172824,1615722.93907209
12.85,-670339.844646806,3033633.1613232,1615765.10648775
12.9,-670591.226638503,3033466.09819071,1615807.26976838
12.95,-670842.607598309,3033299.02696395,1615849.4291158
13,-671093.986371871,3033131.94845881,1615891.5843712
13.05,-671345.364010725,3032964.86203904,1615933.73573036
13.1,-671596.739436168,3032797.76836257,1615975.88292172
13.15,-671848.113441607,3032630.666974,1616018.02611276
