Time,x,y,z
20.8,-2174066.57619401,2718805.54637816,-245312.39475713
20.85,-2174240.51723957,2718569.77815872,-245322.933075167
20.9,-2174414.45361466,2718334.00551036,-245333.470743568
20.95,-2174588.38663107,2718098.22661757,-245344.007842291
21,-2174762.31584715,2717862.44213869,-245354.544337772
21.05,-2174936.24126146,2717626.65202399,-245365.080233689
21.1,-2175110.1625114,2717390.85681781,-245375.615466136
21.15,-2175284.07987865,2717155.05614019,-245386.150040406
21.2,-2175457.99396198,2716919.24920279,-245396.684067377
21.25,-2175631.90403226,2716683.43701588,-245407.217511473
21.3,-2175805.81015227,2716447.6194057,-245417.75034625
21.35,-2175979.71232756,2716211.79634514,-245428.282551565
21.4,-2176153.61071803,2715975.96771964,-245438.814073794
21.45,-2176327.50542985,2715740.13330754,-245449.345008043
21.5,-2176501.39629232,2715504.29330367,-245459.875339438
21.55,-2176675.28303777,2715268.44814145,-245470.405033051
21.6,-2176849.16600262,2715032.59734822,-245480.934072847
21.65,-2177023.04525193,2714796.7408483,-245491.462425544
21.7,-2177196.92069506,2714560.87877395,-245501.990173173
21.75,-2177370.79206491,2714325.01143104,-245512.51704794
21.8,-2177544.65974979,2714089.13827134,-245523.043375705
21.85,-2177718.52347538,2713853.2596665,-245533.568967234
21.9,-2177892.3828294,2713617.37613172,-245544.093779716
21.95,-2178066.23906951,2713381.48602505,-245554.618037275
22,-2178240.09136411,2713145.59060962,-245565.141461035
22.05,-2178413.93968991,2712909.68974677,-245575.664283495
22.1,-2178587.78388779,2712673.78373169,-245586.186485317
22.15,-2178761.62450278,2712437.87181727,-245596.708047322
22.2,-2178935.46126963,2712201.95439655,-245607.228949666
22.25,-2179109.2940016,2711966.03163846,-245617.749256703
22.3,-2179283.12313431,2711730.10292621,-245628.268969311
22.35,-2179456.94835893,2711494.16874113,-245638.788057865
22.4,-2179630.76953489,2711258.22925741,-245649.30652355
22.45,-2179804.58692826,2711022.28419968,-245659.824406395
22.5,-2179978.40056976,2710786.33349069,-245670.341635112
22.55,-2180152.2101686,2710550.37748439,-245680.858238718
22.6,-2180326.01632467,2710314.41534148,-245691.374248939
22.65,-2180499.81797137,2710078.44850394,-245701.889570928
22.7,-2180673.61641287,2709842.47530587,-245712.404356443
22.75,-2180847.41049228,2709606.49727242,-245722.918514799
22.8,-2181021.20101312,2709370.5132471,-245733.432076538
22.85,-2181194.98759812,2709134.52373905,-245743.945027041
22.9,-2181368.77014157,2708898.52885981,-245754.457361247
22.95,-2181542.54880247,2708662.52853789,-245764.969111666
23,-2181716.32373943,2708426.52256379,-245775.480202529
23.05,-2181890.09500506,2708190.51071933,-245785.990703084
23.1,-2182063.86241175,2707954.49328409,-245796.500597672
23.15,-2182237.62541159,2707718.47106627,-245807.00988827
23.2,-2182411.38465675,2707482.44316764,-245817.518568321
23.25,-2182585.14051288,2707246.40910937,-245828.026629333
23.3,-2182758.89188392,2707010.37026803,-245838.534031102
23.35,-2182932.64007329,2706774.32501836,-245849.040918833
23.4,-2183106.38352899,2706538.27537682,-245859.547135236
23.45,-2183280.12368878,2706302.21945399,-245870.052697093
23.5,-2183453.85983567,2706066.1581397,-245880.55766131
23.55,-2183627.59221556,2705830.09121336,-245891.062071203
23.6,-2183801.32033239,2705594.01919113,-245901.565850285
23.65,-2183975.04450899,2705357.94165151,-245912.06901969
23.7,-2184148.76536789,2705121.85798064,-245922.571585965
23.75,-2184322.48179043,2704885.76945221,-245933.073510954
23.8,-2184496.19498993,2704649.6744805,-245943.574861315
23.85,-2184669.90366082,2704413.57487088,-245954.075604413
23.9,-2184843.60858678,2704177.46954511,-245964.575767563
23.95,-2185017.30955014,2703941.35878742,-245975.075218129
24,-2185191.00689897,2703705.24214617,-245985.574106989
24.05,-2185364.70009403,2703469.12032231,-245996.072404978
24.1,-2185538.3897928,2703232.9924117,-246006.570111898
24.15,-2185712.07506562,2702996.85970998,-246017.067195217
24.2,-2185885.75679937,2702760.72106279,-246027.563637872
24.25,-2186059.43440445,2702524.57714634,-246038.059462521
