Time,x,y,z,vx,vy,vz
8.45,-2130988.43008041,2776868.98561089,-242690.586946016,-3497.16874092141,-4687.60668865554,-213.79977799416
8.5,-2131163.28820343,2776634.60054326,-242701.276730259,-3497.0345086537,-4687.63695045366,-213.784536908198
8.55,-2131338.14241765,2776400.21024001,-242711.965913268,-3497.08604885866,-4687.91293815333,-213.78002331465
8.6,-2131512.99295414,2776165.81437678,-242722.654505895,-3497.0283980229,-4688.04351135159,-213.769100900288
8.65,-2131687.83985088,2775931.41290189,-242733.342484727,-3496.83122405046,-4687.99378977102,-213.749128496147
8.7,-2131862.68327684,2775697.00559407,-242744.029864657,-3496.88253198178,-4688.2697403334,-213.744718055769
8.75,-2132037.52288065,2775462.59287805,-242754.716647645,-3496.78303110025,-4688.34550715143,-213.731433052585
8.8,-2132212.35890152,2775228.17455948,-242765.402849529,-3496.60013255554,-4688.31201951966,-213.713368214783
8.85,-2132387.19170193,2774993.75016752,-242776.088448315,-3496.6542077601,-4688.58744286573,-213.706857325866
8.9,-2132562.02012938,2774759.3211079,-242786.773330486,-3496.57989955334,-4688.70130833451,-213.693914278101
8.95,-2132736.84577944,2774524.88527005,-242797.457646277,-3496.4942266899,-4688.79539184754,-213.681628065965
9,-2132911.66720064,2774290.44466115,-242808.1413459,-3496.43649599149,-4688.92600651385,-213.670799622047
9.05,-2133086.48539896,2774055.99794244,-242818.824484666,-3496.23735005149,-4688.87361967855,-213.651601461091
9.1,-2133261.29970065,2773821.54591275,-242829.507021115,-3496.22820291019,-4689.06800605589,-213.643689479113
9.15,-2133436.11040584,2773587.08822665,-242840.18895433,-3496.21863033428,-4689.26443711485,-213.634577701741
9.2,-2133610.91752948,2773352.62483736,-242850.870273778,-3496.1469102422,-4689.37677401876,-213.622961282548
9.25,-2133785.72094527,2773118.15588536,-242861.550999069,-3495.94774410895,-4689.3244001371,-213.603792591661
9.3,-2133960.52099841,2772883.68105865,-242872.231091449,-3495.93895638562,-4689.51775014027,-213.593677836082
9.35,-2134135.31722473,2772649.2009525,-242882.910550243,-3495.9436872926,-4689.73040789617,-213.586551256181
9.4,-2134310.11012376,2772414.71481953,-242893.589418915,-3495.85524488511,-4689.82586559812,-213.572828565563
9.45,-2134484.89903568,2772180.22340797,-242904.267648459,-3495.67220642988,-4689.79234217583,-213.55473231246
9.5,-2134659.68472529,2771945.72590763,-242914.945317472,-3495.7116217399,-4690.05056547919,-213.54956285059
9.55,-2134834.46631319,2771711.22344344,-242925.622376942,-3495.6398034898,-4690.16290082094,-213.537880789532
9.6,-2135009.24454566,2771476.71494612,-242936.298864209,-3495.42658516421,-4690.0923364502,-213.517981203917
9.65,-2135184.01892856,2771242.20115779,-242946.97472904,-3495.49337721282,-4690.38896718309,-213.513321411493
9.7,-2135358.78997735,2771007.68132021,-242957.649945091,-3495.29683361889,-4690.33624372004,-213.49231421938
9.75,-2135533.55701281,2770773.15637313,-242968.324509324,-3495.22259270269,-4690.44791572577,-213.480459168516
9.8,-2135708.32093492,2770538.62514196,-242978.998516628,-3495.27580596156,-4690.72438086594,-213.476061067264
9.85,-2135883.0809098,2770304.08875833,-242989.671913374,-3495.20392934443,-4690.8367214724,-213.464324478508
9.9,-2136057.83729892,2770069.54670033,-243000.344724332,-3495.12962142973,-4690.94843530459,-213.452578561949
9.95,-2136232.58979881,2769834.99923974,-243011.016889794,-3495.05730707514,-4691.06279861246,-213.439820369655
10,-2136407.33902875,2769600.44569087,-243021.688485809,-3494.86026195822,-4691.01101456187,-213.420962013211
10.05,-2136582.08449636,2769365.88675742,-243032.359487206,-3494.78828005888,-4691.12327697869,-213.409237059507
10.1,-2136756.82636073,2769131.32211263,-243043.029893332,-3494.85301154902,-4691.41744301251,-213.405436809312
10.15,-2136931.5645057,2768896.75205103,-243053.699631314,-3494.65604163077,-4691.36581904152,-213.38387336654
10.2,-2137106.2988579,2768662.17649847,-243064.368705595,-3494.58386400863,-4691.47898732338,-213.371829304244
10.25,-2137281.02968697,2768427.5951319,-243075.03719649,-3494.48170648024,-4691.55415935792,-213.358262008711
10.3,-2137455.75722884,2768193.00771517,-243085.705122838,-3494.54860307058,-4691.84876058297,-213.354605447113
10.35,-2137630.48111645,2767958.41475414,-243096.372463502,-3494.47639732569,-4691.96097660597,-213.343052159905
10.4,-2137805.2007038,2767723.81705387,-243107.039180227,-3494.40203984224,-4692.07273492539,-213.331211838359
10.45,-2137979.91714854,2767489.21297183,-243117.705302962,-3494.19067450042,-4692.00477634241,-213.310371910916
10.5,-2138154.62984981,2767254.6034039,-243128.370816345,-3494.13241546486,-4692.13532609605,-213.299549523812
10.55,-2138329.33917056,2767019.98795322,-243139.035706394,-3494.05934865198,-4692.24627193235,-213.285698151424
10.6,-2138504.04451134,2766785.36730827,-243149.699936604,-3494.04875822134,-4692.44027683483,-213.277569209892
10.65,-2138678.74596597,2766550.74142504,-243160.363564951,-3493.91414422692,-4692.47050863583,-213.262187596293
10.7,-2138853.44445275,2766316.10903669,-243171.026636598,-3493.90405608102,-4692.66689029307,-213.252994780297
10.75,-2139028.13906068,2766081.47119421,-243181.689063769,-3493.8920682595,-4692.86062139181,-213.244768820512
10.8,-2139202.82990992,2765846.82791925,-243192.350897521,-3493.81978632133,-4692.97275885076,-213.233062709376
10.85,-2139377.51732071,2765612.17878877,-243203.012158739,-3493.76149573866,-4693.10341679384,-213.222208847372
10.9,-2139552.20060858,2765377.52466457,-243213.672793337,-3493.68690769491,-4693.21504377146,-213.210393923592
10.95,-2139726.88035218,2765142.8647863,-243224.332845346,-3493.55257013978,-4693.24469143479,-213.193651961528
11,-2139901.55695243,2764908.19861653,-243234.992208028,-3493.52847698758,-4693.42231517831,-213.182923471304
11.05,-2140076.22934952,2764673.52756573,-243245.650937695,-3493.45398542233,-4693.53409387641,-213.171129481191
11.1,-2140250.89840453,2764438.85047006,-243256.309095986,-3493.24287884875,-4693.46413528923,-213.151443190965
11.15,-2140425.56341231,2764204.16832487,-243266.96664495,-3493.24685613453,-4693.67652682308,-213.144089942213
11.2,-2140600.22494291,2763969.48036479,-243277.623618034,-3493.10995428459,-4693.7063413656,-213.128558256029
11.25,-2140774.88319393,2763734.78615286,-243288.279985118,-3493.16200104606,-4693.98466753984,-213.123018509022
11.3,-2140949.53741813,2763500.08682895,-243298.935727337,-3492.95091730983,-4693.91472938209,-213.103394092421
11.35,-2141124.18840058,2763265.38139792,-243309.590900011,-3493.01737297668,-4694.20871045827,-213.098888704814
11.4,-2141298.83498283,2763030.6713336,-243320.245384007,-3492.94294491191,-4694.31968934477,-213.08569159345
11.45,-2141473.47879379,2762795.95454088,-243330.899289456,-3492.87056242362,-4694.43209114451,-213.074051916274
11.5,-2141648.11833702,2762561.23295643,-243341.552554828,-3492.79768171293,-4694.54628066008,-213.061272121092
11.55,-2141822.75446066,2762326.50531341,-243352.205211805,-3492.5981942497,-4694.49405910668,-213.042137613643
11.6,-2141997.38660556,2762091.77249063,-243362.857260454,-3492.53960002555,-4694.62455052117,-213.031378747203
11.65,-2142172.01559206,2761857.03344824,-243373.508753863,-3492.4671654509,-4694.73676215065,-213.01963113423
11.7,-2142346.64041459,2761622.28940866,-243384.159626104,-3492.3924013746,-4694.84842968323,-213.007573356886
11.75,-2142521.26217561,2761387.53899011,-243394.809934431,-3492.29214204175,-4694.92419656647,-212.99433208827
11.8,-2142695.87986857,2761152.78351275,-243405.45954613,-3492.29586237904,-4695.13766468752,-212.983980651793
11.85,-2142870.49377397,2760918.02252526,-243416.108501468,-3492.15869353942,-4695.16741778027,-212.968503039209
11.9,-2143045.10425122,2760683.25562934,-243426.756880017,-3492.2108787979,-4695.44346178468,-212.963851829698
11.95,-2143219.71092828,2760448.48335494,-243437.404661341,-3491.99976567486,-4695.3736021355,-212.944149334985
12,-2143394.31429806,2760213.70499397,-243448.051875997,-3492.06346047889,-4695.66737200285,-212.940278725191
12.05,-2143568.91348193,2759978.92168025,-243458.698469848,-3491.99094155453,-4695.77965863384,-212.928532631188
12.1,-2143743.50938099,2759744.13218287,-243469.344450829,-3491.79319028984,-4695.72999838064,-212.908601673427
12.15,-2143918.10132462,2759509.33749182,-243479.989810831,-3491.8293193787,-4695.98661778007,-212.901745293139
12.2,-2144092.6898219,2759274.53685911,-243490.634543282,-3491.64615136937,-4695.95283706448,-212.88270877874
12.25,-2144267.27437766,2759039.73107144,-243501.27862685,-3491.57341081141,-4696.06496855789,-212.871090249307
12.3,-2144441.85577236,2758804.91901782,-243511.922151851,-3491.62319805188,-4696.34070275474,-212.86644617573
12.35,-2144616.43298392,2758570.1019184,-243522.565029177,-3491.50164070354,-4696.39118975024,-212.850836520029
12.4,-2144791.00695657,2758335.27862264,-243533.20732085,-3491.36656012322,-4696.42130788039,-212.835478386988
12.45,-2144965.57681677,2758100.45033184,-243543.848997361,-3491.29165812321,-4696.53308702562,-212.823574637634
12.5,-2145140.14312841,2757865.61620766,-243554.490088856,-3491.20501940742,-4696.62698170457,-212.811064841276
12.55,-2145314.70597615,2757630.77624779,-243565.130594816,-3491.19477973093,-4696.82081722608,-212.802124010172
12.6,-2145489.26508912,2757395.93084899,-243575.770454087,-3491.04619030289,-4696.83215202701,-212.78466613668
12.65,-2145663.82052289,2757161.07980272,-243586.409663336,-3491.10913117617,-4697.12793539738,-212.779671619149
12.7,-2145838.37196315,2756926.22347758,-243597.048231043,-3491.03639574944,-4697.24019529088,-212.767951275535
12.75,-2146012.9200743,2756691.36114338,-243607.686225679,-3490.89975754488,-4697.2700063619,-212.752567910589
12.8,-2146187.46447628,2756456.49317146,-243618.323628727,-3490.87455372023,-4697.44571037446,-212.743538812722
